hour,nsite,obs,air,soil
0,8,1.1196389470413561,1.036600291541078,1.0281233616361805
1,8,1.0985887139155157,1.0232716080199489,1.023964948209284
2,8,1.0994306905531563,1.0136219849691153,1.0201803859792848
3,8,1.1197766366597715,1.013879167547827,1.0195236143599025
4,8,1.0690630029913386,0.9958595314843502,1.0103612056871365
5,8,0.9587594702483384,0.940347589960284,0.9835038420798565
6,8,0.7370786943892567,0.8206572513178151,0.9062482818869063
7,7,0.731544063514142,0.7543644699416701,0.856842294091929
16,7,0.6996343929039427,0.9114771392441575,0.931171330634429
17,8,0.752009486249992,0.9599168429108783,0.9471004253537828
18,8,0.8727266545447419,1.0526461434224965,1.0040616605475563
19,8,1.1191315573752083,1.1528154291574992,1.0787622212443517
20,8,1.1486370362092617,1.1118881431442211,1.0617775047040263
21,8,1.146149475286738,1.0797361269572419,1.0461244266400938
22,8,1.1342566541713217,1.0676392621916355,1.040291683337718
23,8,1.134390211434868,1.05903086750156,1.0402065259906277
